Source,T1,Destination,T2,Seq,Latency
10.136.5.2,1697910980,10.143.3.2,1697910980,807,62674340
10.129.129.2,1697910980,10.143.3.2,1697910980,727,51799793
10.136.5.2,1697910981,10.143.3.2,1697910981,808,62647310
10.129.129.2,1697910981,10.143.3.2,1697910981,728,51800076
10.136.5.2,1697910982,10.143.3.2,1697910982,809,62659089
10.129.129.2,1697910982,10.143.3.2,1697910982,729,51795393
10.136.5.2,1697910983,10.143.3.2,1697910983,810,62660693
10.129.129.2,1697910983,10.143.3.2,1697910983,730,51792796
10.136.5.2,1697910984,10.143.3.2,1697910984,811,62719982
10.129.129.2,1697910984,10.143.3.2,1697910984,731,51796713
10.136.5.2,1697910985,10.143.3.2,1697910985,812,62695848
10.129.129.2,1697910985,10.143.3.2,1697910985,732,51798212
10.136.5.2,1697910986,10.143.3.2,1697910986,813,62710068
10.129.129.2,1697910986,10.143.3.2,1697910986,733,51820249
10.136.5.2,1697910987,10.143.3.2,1697910987,814,62673266
10.129.129.2,1697910987,10.143.3.2,1697910987,734,51793036
10.136.5.2,1697910988,10.143.3.2,1697910988,815,62651043
10.129.129.2,1697910988,10.143.3.2,1697910988,735,51794202
10.136.5.2,1697910989,10.143.3.2,1697910989,816,62682541
10.129.129.2,1697910989,10.143.3.2,1697910989,736,51793002
10.136.5.2,1697910990,10.143.3.2,1697910990,817,62743163
10.129.129.2,1697910990,10.143.3.2,1697910990,737,51796203
10.136.5.2,1697910991,10.143.3.2,1697910991,818,62662043
10.129.129.2,1697910991,10.143.3.2,1697910991,738,51807408
10.136.5.2,1697910992,10.143.3.2,1697910992,819,62672385
10.129.129.2,1697910992,10.143.3.2,1697910992,739,51794404
10.136.5.2,1697910993,10.143.3.2,1697910993,820,62688581
10.129.129.2,1697910993,10.143.3.2,1697910993,740,51790816
10.136.5.2,1697910994,10.143.3.2,1697910994,821,62673780
10.129.129.2,1697910994,10.143.3.2,1697910994,741,51794556
10.136.5.2,1697910995,10.143.3.2,1697910995,822,62655941
10.129.129.2,1697910995,10.143.3.2,1697910995,742,51794534
10.136.5.2,1697910996,10.143.3.2,1697910996,823,62688893
10.129.129.2,1697910996,10.143.3.2,1697910996,743,51804798
10.136.5.2,1697910997,10.143.3.2,1697910997,824,62650221
10.129.129.2,1697910997,10.143.3.2,1697910997,744,51798829
10.136.5.2,1697910998,10.143.3.2,1697910998,825,62675746
10.129.129.2,1697910998,10.143.3.2,1697910998,745,51796659
10.136.5.2,1697910999,10.143.3.2,1697910999,826,62660756
10.129.129.2,1697910999,10.143.3.2,1697910999,746,51792597
10.136.5.2,1697911000,10.143.3.2,1697911000,827,62679559
10.129.129.2,1697911000,10.143.3.2,1697911000,747,51799608
10.136.5.2,1697911001,10.143.3.2,1697911001,828,62676631
10.129.129.2,1697911001,10.143.3.2,1697911001,748,51799875
10.136.5.2,1697911002,10.143.3.2,1697911002,829,62686920
10.129.129.2,1697911002,10.143.3.2,1697911002,749,51824486
